148,182,6
91,45,7
38,42,18
182,53,9
62,68,18
136,148,17
163,202,11
155,207,6
21,160,14
16,124,7
140,34,21
108,215,6
38,102,22
130,32,23
36,170,23
80,110,12
133,94,17
182,88,19
67,84,19
104,112,19
94,149,19
113,142,8
80,74,17
97,22,17
95,182,24
104,125,23
93,98,20
133,57,9
187,19,15
142,62,25
195,87,23
39,64,15
81,105,7
100,83,12
129,69,20
53,212,9
47,52,7
52,32,14
126,92,21
182,60,5
161,202,18
68,112,15
186,186,13
14,20,12
20,165,5
167,161,18
45,205,16
140,54,18
164,145,16
178,57,6
211,128,13
32,84,11
21,146,16
68,14,10
21,172,17
98,181,6
50,150,14
47,174,18
83,133,19
199,154,15
153,184,21
68,64,12
70,8,6
75,173,16
205,15,5
182,116,9
106,48,20
36,193,9
157,200,16
191,190,21
130,218,5
194,197,25
125,128,6
93,58,6
90,213,7
85,151,9
24,69,11
195,190,16
89,68,5
133,36,17
61,121,25
143,86,18
38,100,7
37,158,7
66,26,12
195,98,20
205,151,17
109,35,7
100,57,25
91,42,11
128,42,17
50,107,10
166,136,23
111,108,6
134,144,24
82,146,10
83,99,6
50,63,15
164,150,25
151,55,21
80,133,17
46,25,10
60,52,15
104,104,22
19,50,7
133,57,14
97,155,11
73,137,15
190,121,25
77,135,20
30,78,23
177,149,13
69,68,24
105,100,16
167,49,9
78,96,16
85,62,23
97,63,23
56,41,13
147,34,22
90,113,19
197,69,20
186,85,23
113,32,17
47,165,20
46,212,8
177,173,19
131,115,24
168,87,18
66,104,16
139,83,9
88,22,7
172,36,13
20,123,12
59,86,16
186,94,21
139,167,17
61,156,10
204,200,9
123,43,24
191,161,5
122,131,14
89,127,5
93,148,12
159,31,23
124,157,22
110,55,5
79,185,24
185,14,5
111,38,21
31,94,9
163,53,5
63,117,8
64,128,18
210,111,12
187,168,9
160,21,12
184,30,23
139,132,10
78,17,15
45,73,25
102,131,14
134,36,13
191,50,23
16,198,10
194,64,22
94,196,12
154,30,5
53,68,25
20,92,6
169,102,22
108,186,17
188,173,6
129,41,22
107,96,5
183,37,5
134,190,5
207,10,8
151,43,16
91,158,20
63,87,19
16,53,9
200,78,19
102,117,18
124,42,12
119,123,10
125,188,19
66,127,19
99,88,14
72,156,13
136,160,13
146,143,11
19,198,12
92,152,12
123,137,15
97,105,16
193,170,23
26,96,12
119,33,14
60,179,24
194,200,10
164,159,24
69,33,5
107,24,17
60,32,7
152,54,18
121,125,21
173,99,18
105,88,7
197,158,7
51,95,13
91,207,12
183,111,11
173,118,17
76,51,23
142,146,19
89,181,5
110,146,12
96,163,17
125,59,11
115,124,16
71,24,7
117,138,23
63,144,6
39,129,24
40,48,10
47,85,24
126,211,11
99,144,17
139,175,24
97,127,15
61,137,20
91,165,23
176,26,23
76,127,11
133,136,20
114,91,19
133,172,18
57,138,18
196,40,17
115,208,12
147,82,7
44,119,14
23,188,19
69,52,17
75,118,5
53,112,10
122,131,22
197,188,9
154,129,24
33,73,6
150,27,15
197,28,24
176,92,11
95,148,14
90,190,11
110,133,19
131,87,16
200,78,15
148,147,21
73,123,13
161,40,9
67,36,14
140,128,7
16,200,8
77,40,7
99,72,13
91,87,6
198,202,19
116,184,18
190,194,12
67,139,12
56,77,12
46,109,19
23,98,18
153,119,9
169,175,8
126,88,10
136,155,24
33,58,7
114,161,22
180,26,11
104,160,13
204,159,17
93,57,22
66,59,15
127,71,19
